title,images,colors,style,closure,gender,material,collar_type,size,weight,unit_count,description,0,1,2,3,4,5,6,7,8,Desi,bullet,keywords,manufacturer,UK ID,AU ID,MX ID,SG ID,CA ID,US item_type_keyword,IT ID,FR ID,ES ID,PL ID,NL ID,DE ID,SE ID,item type name
Men's T-Shirt Pink Round Collar T-Shirt Knit Oversize Pattern Lightweight Short Sleeve Men's Adult T-Shirt,"1,2,3,4,5,6",Pink ,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"9,99","9,99","9,99",,"9,99",47,"9,99","9,99",1,Machine washable.= Comfortable and wide cut.= It is a stylish and patterned t-shirt.,t-shirt; male; man; patterned; pink; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organised; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Black Knitted Oversize T-Shirt Round Collar Adult Men's T-Shirt,"7,8,9,10,11,12",black,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,Machine washable.= Comfortable and wide cut.= It is a stylish and patterned t-shirt.,t-shirt; man; boy; patterned; pink; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organised; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Yellow Oversize Patterned T-Shirt Round Collar Adult Men's T-Shirt,"13,14,15,16,17,18",yellow,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"9,99","9,99","9,99",,"9,99",47,"9,99","9,99",1,It's a yellow t-shirt. = Machine washable. = Comfortable and wide cut.,t-shirt; boy; man; patterned; pink; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organised; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Gray Patterned T-Shirt Round Collar Oversize Printed Adult Men's T-Shirt,"19,20,21,22,23,24",gray,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"9,99","9,99","9,99",,"9,99",47,"9,99","9,99",1,It is printed on gray.= Cotton fabric is used.= Machine washable.,t-shirts; man; patterned; grey; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size; printed,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Orange Round Neck T-Shirt Oversize Modern Patterned Adult Men's T-Shirt,"25,26,27,28,29,30",orange,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,Patterned back.= It is a round neck t-shirt.= Machine washable.,t-shirts; man; patterned; orange; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size; printed,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Black Knitted Oversize T-Shirt Round Collar Patterned Adult Men's T-Shirt,"31,32,33,34,35,36,37",black,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,It is printed on black.= Cotton fabric is used.= Machine washable.,t-shirts; man; patterned; black; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size; printed,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Yellow Knitted Oversize Patterned T-Shirt Round Collar Picture Printed Adult Men's T-Shirt,"38,39,40,41,42,43",yellow,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"9,99","9,99","9,99",,"9,99",47,"9,99","9,99",1,It's a yellow t-shirt. = Machine washable. = Comfortable and wide cut.,t-shirt; boy; man; patterned; pink; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organised; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Black Knit Oversize Patterned T-Shirt Round Neck Stylish Adult Men's T-Shirt,"44,45,46,47,48,49",black,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,It is a stylish black T-shirt.= Comfortable cut.= Machine washable.,t-shirts; man; patterned; orange; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Modern Round Collar T-Shirt Oversize Patterned Adult Men's T-Shirt,"50,51,52,53,54",black,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,It is printed on black.= Cotton fabric is used.= Machine washable.,t-shirts; man; patterned; black; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
Men's T-Shirt Black Blue Patterned Round Collar T-Shirt Oversize Stylish Adult Men's T-Shirt,"55,56,57,58,59",black,oversize,no closure,man,Cotton,Round Collar,"S,M,L,XL,XXL",1,1,"It is a patterned and stylish product.
It is a t-shirt that you can easily use in summer evenings.
Product Features 100% Cotton;
Round Collar.
It is oversized.
The front is colored and picture-printed.
It is short sleeved.
Model Dimensions: Height: 188cm, Weight: 85kg;
The product on the model is size L.
Due to the studio lights, there may be a color difference between the photo and the product in case of tolerance.",,"13,99","13,99","13,99",,"13,99",51,"13,99","13,99",1,It is a blue patterned t-shirt.= Machine washable.= It is comfortable and wide cut.,t-shirts; man; patterned; black; washing; modern; dimension; adult; cotton; round; washable; soft; knit; large; small; middle; printed; organized; large size; cotton,eWorldpartner,1731028031,5131902051,14093505011,6833894051,10287299011,fashion-t-shirt,2893163031,464642031,3074182031,20849579031,16392189031,1981397031,20652645031,"clothing, men's t-shirt"
